          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.000     0     0     0.0      0      0 |    1     1    0.0000    0.0000    0.0000 |
    1.000     7     8     7.7    308    308 |   40    41    0.0294    0.0007    0.0001 |
    2.000     8     8     8.0    320    628 |   40    81    0.0374    0.0009    0.0001 |
    3.000     8     8     8.0    320    948 |   40   121    0.0374    0.0009    0.0001 |
    4.000     8     8     8.0    320   1268 |   40   161    0.0373    0.0009    0.0001 |
    5.000     8     8     8.0    320   1588 |   40   201    0.0373    0.0009    0.0001 |
    6.000     8     8     8.0    320   1908 |   40   241    0.0353    0.0009    0.0001 |
    7.000     8     8     8.0    320   2228 |   40   281    0.0379    0.0009    0.0001 |
    8.000     8     8     8.0    320   2548 |   40   321    0.0376    0.0009    0.0001 |
    9.000     8     8     8.0    320   2868 |   40   361    0.0376    0.0009    0.0001 |
   10.000     8     8     8.0    320   3188 |   40   401    0.0359    0.0009    0.0001 |
   11.000     8     8     8.0    320   3508 |   40   441    0.0374    0.0009    0.0001 |
   12.000     8     8     8.0    320   3828 |   40   481    0.0374    0.0009    0.0001 |
   13.000     8     8     8.0    320   4148 |   40   521    0.0376    0.0009    0.0001 |
   14.000     8     8     8.0    320   4468 |   40   561    0.0373    0.0009    0.0001 |
   15.000     7     8     8.0    319   4787 |   40   601    0.0381    0.0010    0.0001 |
   16.000     6     7     6.3    252   5039 |   40   641    0.0252    0.0006    0.0001 |
   17.000     6     6     6.0    240   5279 |   40   681    0.0173    0.0004    0.0001 |
   18.000     6     6     6.0    240   5519 |   40   721    0.0172    0.0004    0.0001 |
   19.000     6     6     6.0    240   5759 |   40   761    0.0186    0.0005    0.0001 |
   20.000     6     6     6.0    240   5999 |   40   801    0.0288    0.0007    0.0001 |
   21.000     5     6     5.3    214   6213 |   40   841    0.0259    0.0006    0.0001 |
   22.000     5     6     5.1    203   6416 |   40   881    0.0248    0.0006    0.0001 |
   23.000     5     5     5.0    200   6616 |   40   921    0.0245    0.0006    0.0001 |
   24.000     5     5     5.0    200   6816 |   40   961    0.0245    0.0006    0.0001 |
   25.000     5     5     5.0    200   7016 |   40  1001    0.0244    0.0006    0.0001 |
   26.000     5     5     5.0    200   7216 |   40  1041    0.0245    0.0006    0.0001 |
   27.000     5     5     5.0    200   7416 |   40  1081    0.0244    0.0006    0.0001 |
   28.000     5     5     5.0    200   7616 |   40  1121    0.0223    0.0006    0.0001 |
   29.000     5     5     5.0    200   7816 |   40  1161    0.0243    0.0006    0.0001 |
   30.000     5     5     5.0    200   8016 |   40  1201    0.0243    0.0006    0.0001 |
   31.000     5     5     5.0    200   8216 |   40  1241    0.0248    0.0006    0.0001 |
   32.000     5     5     5.0    200   8416 |   40  1281    0.0168    0.0004    0.0001 |
   33.000     5     5     5.0    200   8616 |   40  1321    0.0151    0.0004    0.0001 |
   34.000     5     5     5.0    200   8816 |   40  1361    0.0145    0.0004    0.0001 |
   35.000     5     5     5.0    200   9016 |   40  1401    0.0145    0.0004    0.0001 |
   36.000     5     5     5.0    200   9216 |   40  1441    0.0148    0.0004    0.0001 |
   37.000     5     5     5.0    200   9416 |   40  1481    0.0145    0.0004    0.0001 |
   38.000     4     5     4.7    187   9603 |   40  1521    0.0138    0.0003    0.0001 |
   39.000     4     4     4.0    160   9763 |   40  1561    0.0121    0.0003    0.0001 |
   40.000     4     4     4.0    160   9923 |   40  1601    0.0122    0.0003    0.0001 |
   41.000     4     4     4.0    160  10083 |   40  1641    0.0125    0.0003    0.0001 |
